make,component,complaint_count,crash_count,crash_rate_pct
FORD,"POWER TRAIN,UNKNOWN OR OTHER,FUEL/PROPULSION SYSTEM",5,0.0,0.0
FORD,"POWER TRAIN,BACK OVER PREVENTION",16,0.0,0.0
FORD,"STRUCTURE,UNKNOWN OR OTHER,VISIBILITY/WIPER",6,0.0,0.0
FORD,"FUEL SYSTEM, GASOLINE,STRUCTURE",6,0.0,0.0
FORD,"ENGINE AND ENGINE COOLING,POWER TRAIN",33,0.0,0.0
FORD,"ELECTRICAL SYSTEM,ELECTRONIC STABILITY CONTROL (ESC),ENGINE",7,0.0,0.0
FORD,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,ENGINE",33,0.0,0.0
FORD,FUEL/PROPULSION SYSTEM,314,0.0,0.0
FORD,"SEATS,UNKNOWN OR OTHER",6,0.0,0.0
FORD,"SUSPENSION,SEATS",5,0.0,0.0
FORD,"ELECTRICAL SYSTEM,VISIBILITY",6,0.0,0.0
FORD,"ELECTRICAL SYSTEM,LANE DEPARTURE,BACK OVER PREVENTION",13,0.0,0.0
FORD,"STRUCTURE,LATCHES/LOCKS/LINKAGES",44,0.0,0.0
FORD,"ELECTRICAL SYSTEM,SEATS",24,0.0,0.0
FORD,"ELECTRICAL SYSTEM,LATCHES/LOCKS/LINKAGES",7,0.0,0.0
FORD,"STEERING,POWER TRAIN,ENGINE",9,0.0,0.0
TESLA,"AIR BAGS,VEHICLE SPEED CONTROL",5,5.0,100.0
TESLA,"STEERING,VEHICLE SPEED CONTROL",5,4.0,80.0
TESLA,"STEERING,AIR BAGS,SERVICE BRAKES",5,4.0,80.0
TESLA,"LANE DEPARTURE,BACK OVER PREVENTION",5,4.0,80.0
TESLA,"POWER TRAIN,ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",6,4.0,66.67
TESLA,"STRUCTURE,WHEELS",5,3.0,60.0
TESLA,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",5,3.0,60.0
TESLA,"STEERING,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",5,3.0,60.0
TESLA,"STEERING,VEHICLE SPEED CONTROL,UNKNOWN OR OTHER",6,3.0,50.0
TESLA,"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER,SERVICE BRAKES",10,5.0,50.0
TESLA,"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER",11,5.0,45.45
TESLA,"STEERING,VEHICLE SPEED CONTROL,SERVICE BRAKES",9,4.0,44.44
TESLA,"STEERING,FORWARD COLLISION AVOIDANCE,LANE DEPARTURE",5,2.0,40.0
TESLA,"LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",18,7.0,38.89
TESLA,"BACK OVER PREVENTION,FORWARD COLLISION AVOIDANCE",8,3.0,37.5
TESLA,VEHICLE SPEED CONTROL,99,37.0,37.37
TESLA,"VEHICLE SPEED CONTROL,SERVICE BRAKES",27,10.0,37.04
TESLA,"STRUCTURE,UNKNOWN OR OTHER",13,4.0,30.77
TESLA,"ELECTRICAL SYSTEM,SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",10,3.0,30.0
TESLA,"UNKNOWN OR OTHER,BACK OVER PREVENTION",7,2.0,28.57
